year,annual_inflation,real_gdp_growth_rate_percentage,annual_unemployment_rate,income_portfolio_return_percentage,60/40_portfolio_return_percentage,40/60_portfolio_return_percentage,growth_portfolio_return_percentage,moderate_portfolio_return_percentage,conservative_portfolio_return_percentage,max_portfolio_return_value,max_portfolio_return_name
1997,2.33768993730741,4.4,4.95,10.39,22.37,18.06,17.5,15.13,12.76,22.37,60/40_portfolio_return_percentage
1998,1.55227909874362,4.5,4.508333,11.3,17.39,14.45,18.26,15.94,13.62,18.26,growth_portfolio_return_percentage
1999,2.18802719697358,4.8,4.216667,5.32,13.98,9.07,20.79,15.63,10.47,20.79,growth_portfolio_return_percentage
2000,3.37685727149935,4.1,3.991667,4.77,-1.79,2.61,-8.06,-3.78,0.49,4.77,income_portfolio_return_percentage
2001,2.82617111885402,1,4.733333,3.38,-3.21,0.67,-9.79,-5.4,-1.01,3.38,income_portfolio_return_percentage
2002,1.58603162650603,1.7,5.775,4.77,-9.27,-3.43,-12.99,-7.07,-1.15,4.77,income_portfolio_return_percentage
2003,2.27009497336113,2.8,5.991667,12.84,20.4,14.93,29.08,23.67,18.26,29.08,growth_portfolio_return_percentage
2004,2.67723669309173,3.9,5.533333,7.36,9.2,7.55,13.41,11.4,9.38,13.41,growth_portfolio_return_percentage
2005,3.39274684549547,3.5,5.066667,2.71,4.55,3.83,7.68,6.02,4.36,7.68,growth_portfolio_return_percentage
2006,3.22594410070407,2.8,4.616667,7.93,11.01,8.77,16.54,13.67,10.8,16.54,growth_portfolio_return_percentage
2007,2.85267248150136,2,4.616667,7.58,6.06,6.35,8.65,8.29,7.94,8.65,growth_portfolio_return_percentage
2008,3.83910029665101,0.1,5.775,-6.04,-20.2,-11.78,-31.14,-22.77,-14.41,-6.04,income_portfolio_return_percentage
2009,-0.35554626629975,-2.6,9.266666,13.74,19.59,15.04,27.07,22.62,18.18,27.07,growth_portfolio_return_percentage
2010,1.64004344238989,2.7,9.616667,8.39,12.82,10.69,13.35,11.7,10.04,13.35,growth_portfolio_return_percentage
2011,3.15684156862206,1.5,8.95,4.55,3.6,4.92,-2.22,0.04,2.29,4.92,40/60_portfolio_return_percentage
2012,2.06933726526059,2.3,8.066667,7.26,11.37,8.93,14.5,12.09,9.67,14.5,growth_portfolio_return_percentage
2013,1.46483265562714,1.8,7.375,3.5,19.1,11.98,21.08,15.22,9.36,21.08,growth_portfolio_return_percentage
2014,1.62222297740821,2.3,6.166667,5.06,9.76,8.43,6.21,5.83,5.44,9.76,60/40_portfolio_return_percentage
2015,0.118627135552435,2.7,5.291667,-0.89,0.3,0.3,-1.23,-1.11,-1,0.3,60/40_portfolio_return_percentage
2016,1.26158320570537,1.7,4.866667,4.13,8.52,6.51,8.36,6.95,5.54,8.52,60/40_portfolio_return_percentage
2017,2.13011000365963,2.3,4.35,8.29,14.02,10.5,19.53,15.78,12.03,19.53,growth_portfolio_return_percentage
2018,2.44258329692818,2.9,3.9,-2.17,-3.2,-2.18,-6.9,-5.32,-3.75,-2.17,income_portfolio_return_percentage
2019,1.81221007526015,2.3,3.666667,12.08,21.83,17.42,23.59,19.75,15.92,23.59,growth_portfolio_return_percentage
2020,1.23358439630637,-3.4,8.091666,10.52,15.57,12.92,15.74,14,12.26,15.74,growth_portfolio_return_percentage
2021,4.69785886363739,5.7,5.366667,2.01,14.65,9.18,15.24,10.83,6.42,15.24,growth_portfolio_return_percentage
