unemployment_rate_percentage,gdp_growth_rate_percentage,inflation_rate_percentage,max_portfolio_return_value,max_portfolio_return_name
6.191667,3.45925199,4.43,24.53,Gold_percentage
5.491667,4.177061291,4.42,17.83,Bogleheads Three Funds Portfolio_percentage
5.266667,3.67264815,4.65,22.33,60/40 Portfolio_percentage
5.616667,1.885964957,6.11,2.76,40/60 Portfolio_percentage
6.816667,-0.108264791,3.06,25.53,60/40 Portfolio_percentage
7.508333,3.522440527,2.9,8.32,60/40 Portfolio_percentage
6.9,2.751781051,2.75,17.68,Gold_percentage
6.083333,4.02879326,2.67,2.31,Bogleheads Three Funds Portfolio_percentage
5.608333,2.684217272,2.54,28.74,60/40 Portfolio_percentage
5.416667,3.772565499,3.32,14.01,60/40 Portfolio_percentage
4.95,4.447174945,1.7,22.37,60/40 Portfolio_percentage
4.508333,4.481394432,1.61,18.03,Bogleheads Three Funds Portfolio_percentage
4.216667,4.794499045,2.68,20.73,Bogleheads Three Funds Portfolio_percentage
3.991667,4.077159479,3.39,2.61,40/60 Portfolio_percentage
4.733333,0.954338729,1.55,0.75,Gold_percentage
5.775,1.695942923,2.38,25.57,Gold_percentage
5.991667,2.796209101,1.88,28.57,Bogleheads Three Funds Portfolio_percentage
5.533333,3.852552601,3.26,13.36,Bogleheads Three Funds Portfolio_percentage
5.066667,3.48322032,3.42,17.76,Gold_percentage
4.616667,2.782810626,2.54,22.55,Gold_percentage
4.616667,2.010507552,4.08,30.45,Gold_percentage
5.775,0.122188443,0.09,4.92,Gold_percentage
9.266666,-2.599888351,2.72,26.55,Bogleheads Three Funds Portfolio_percentage
9.616667,2.708856694,1.5,29.27,Gold_percentage
8.95,1.54989495,2.96,9.97,Harry Browne Permanent Portfolio_percentage
8.066667,2.280687603,1.74,14.38,Bogleheads Three Funds Portfolio_percentage
7.375,1.841875395,1.5,20.74,Bogleheads Three Funds Portfolio_percentage
6.166667,2.287775933,0.76,9.76,60/40 Portfolio_percentage
5.291667,2.706369582,0.73,0.3,40/60 Portfolio_percentage
4.866667,1.667472076,2.07,8.52,60/40 Portfolio_percentage
4.35,2.255680481,2.11,19.43,Bogleheads Three Funds Portfolio_percentage
3.9,2.918856897,1.91,-1.8,Harry Browne Permanent Portfolio_percentage
3.666667,2.288869868,2.29,23.48,Bogleheads Three Funds Portfolio_percentage
8.091666,-3.404589652,1.36,24.81,Gold_percentage
5.366667,5.671107191,7.04,15.03,Bogleheads Three Funds Portfolio_percentage
